hcc_number,hcc_code,hcc_label
276,HCC276,Lung Transplant Status/Complications
277,HCC277,Cystic Fibrosis
278,HCC278,Idiopathic Pulmonary Fibrosis and Lung Involvement in Systemic Sclerosis
279,HCC279,Severe Persistent Asthma
280,HCC280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders"
282,HCC282,Aspiration and Specified Bacterial Pneumonias
283,HCC283,"Empyema, Lung Abscess"
298,HCC298,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage"
300,HCC300,Exudative Macular Degeneration
326,HCC326,"Chronic Kidney Disease, Stage 5"
327,HCC327,"Chronic Kidney Disease, Severe (Stage 4)"
328,HCC328,"Chronic Kidney Disease, Moderate (Stage 3B)"
329,HCC329,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
379,HCC379,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
380,HCC380,"Chronic Ulcer of Skin, Except Pressure, Through to Bone or Muscle"
381,HCC381,Pressure Ulcer of Skin with Full Thickness Skin Loss
382,HCC382,Pressure Ulcer of Skin with Partial Thickness Skin Loss
383,HCC383,"Chronic Ulcer of Skin, Except Pressure, Not Specified as Through to Bone or Muscle"
385,HCC385,Severe Skin Burn
387,HCC387,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders"
397,HCC397,Major Head Injury with Loss of Consciousness > 1 Hour
398,HCC398,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
399,HCC399,Major Head Injury without Loss of Consciousness
401,HCC401,Vertebral Fractures without Spinal Cord Injury
402,HCC402,Hip Fracture/Dislocation
405,HCC405,Traumatic Amputations and Complications
409,HCC409,"Amputation Status, Lower Limb/Amputation Complications"
454,HCC454,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
463,HCC463,Artificial Openings for Feeding or Elimination
