hcc_number,hcc_code,hcc_label
1,HCC1,HIV/AIDS
2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
6,HCC6,Opportunistic Infections
17,HCC17,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
18,HCC18,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
19,HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
20,HCC20,Lung and Other Severe Cancers
21,HCC21,Lymphoma and Other Cancers
22,HCC22,"Bladder, Colorectal, and Other Cancers"
23,HCC23,"Prostate, Breast, and Other Cancers and Tumors"
35,HCC35,Pancreas Transplant Status
36,HCC36,Diabetes with Severe Acute Complications
37,HCC37,Diabetes with Chronic Complications
38,HCC38,"Diabetes with Glycemic, Unspecified, or No Complications"
48,HCC48,Morbid Obesity
49,HCC49,Specified Lysosomal Storage Disorders
50,HCC50,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
51,HCC51,"Addison's and Cushing's Diseases, Acromegaly, and Other Specified Endocrine Disorders"
62,HCC62,Liver Transplant Status/Complications
63,HCC63,Chronic Liver Failure/End-Stage Liver Disorders
64,HCC64,Cirrhosis of Liver
65,HCC65,Chronic Hepatitis
68,HCC68,Cholangitis and Obstruction of Bile Duct Without Gallstones
77,HCC77,Intestine Transplant Status/Complications
78,HCC78,Intestinal Obstruction/Perforation
79,HCC79,Chronic Pancreatitis
80,HCC80,Crohn's Disease (Regional Enteritis)
81,HCC81,Ulcerative Colitis
92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis
93,HCC93,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
94,HCC94,Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders
107,HCC107,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
108,HCC108,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
109,HCC109,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
111,HCC111,"Hemophilia, Male"
112,HCC112,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
114,HCC114,Common Variable and Combined Immunodeficiencies
115,HCC115,Specified Immunodeficiencies and White Blood Cell Disorders
125,HCC125,"Dementia, Severe"
126,HCC126,"Dementia, Moderate"
127,HCC127,"Dementia, Mild or Unspecified"
135,HCC135,Drug Use with Psychotic Complications
136,HCC136,Alcohol Use with Psychotic Complications
137,HCC137,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
138,HCC138,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
139,HCC139,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
151,HCC151,Schizophrenia
152,HCC152,"Psychosis, Except Schizophrenia"
153,HCC153,Personality Disorders; Anorexia/Bulimia Nervosa
154,HCC154,Bipolar Disorders without Psychosis
155,HCC155,"Major Depression, Moderate or Severe, without Psychosis"
180,HCC180,Quadriplegia
181,HCC181,Paraplegia
182,HCC182,Spinal Cord Disorders/Injuries
190,HCC190,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
191,HCC191,Quadriplegic Cerebral Palsy
192,HCC192,"Cerebral Palsy, Except Quadriplegic"
193,HCC193,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
195,HCC195,Myasthenia Gravis with (Acute) Exacerbation
196,HCC196,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
197,HCC197,Muscular Dystrophy
198,HCC198,Multiple Sclerosis
199,HCC199,Parkinson and Other Degenerative Disease of Basal Ganglia
200,HCC200,Friedreich and Other Hereditary Ataxias; Huntington Disease
201,HCC201,Seizure Disorders and Convulsions
202,HCC202,"Coma, Brain Compression/Anoxic Damage"
211,HCC211,Respirator Dependence/Tracheostomy Status/Complications
212,HCC212,Respiratory Arrest
213,HCC213,Cardio-Respiratory Failure and Shock
221,HCC221,Heart Transplant Status/Complications
222,HCC222,End-Stage Heart Failure
223,HCC223,Heart Failure with Heart Assist Device/Artificial Heart
224,HCC224,Acute on Chronic Heart Failure
225,HCC225,Acute Heart Failure (Excludes Acute on Chronic)
226,HCC226,"Heart Failure, Except End-Stage and Acute"
227,HCC227,Cardiomyopathy/Myocarditis
228,HCC228,Acute Myocardial Infarction
229,HCC229,Unstable Angina and Other Acute Ischemic Heart Disease
238,HCC238,Specified Heart Arrhythmias
248,HCC248,Intracranial Hemorrhage
249,HCC249,Ischemic or Unspecified Stroke
253,HCC253,Hemiplegia/Hemiparesis
254,HCC254,"Monoplegia, Other Paralytic Syndromes"
263,HCC263,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene
264,HCC264,Vascular Disease with Complications
267,HCC267,Deep Vein Thrombosis and Pulmonary Embolism
