enrollment_segment,age,sex,coefficient,detail_key,risk_score_base
CPD,80,M,0.0,CPD_OriginallyDisabled_Male,0.0
CPD,80,F,0.0,CPD_OriginallyDisabled_Female,0.0
CPD,85,M,0.0,CPD_OriginallyDisabled_Male,0.0
CPD,85,F,0.0,CPD_OriginallyDisabled_Female,0.0
CPD,90,M,0.0,CPD_OriginallyDisabled_Male,0.0
CPD,90,F,0.0,CPD_OriginallyDisabled_Female,0.0
CPD,95,M,0.0,CPD_OriginallyDisabled_Male,0.0
CPD,95,F,0.0,CPD_OriginallyDisabled_Female,0.0
CPD,95,M,0.0,CPD_OriginallyDisabled_Male,0.0
CPD,95,F,0.0,CPD_OriginallyDisabled_Female,0.0
INS,0,M,0.826,INS_M0_34,0.826
INS,0,F,0.948,INS_F0_34,0.948
INS,5,M,0.826,INS_M0_34,0.826
INS,5,F,0.948,INS_F0_34,0.948
INS,10,M,0.826,INS_M0_34,0.826
INS,10,F,0.948,INS_F0_34,0.948
INS,15,M,0.826,INS_M0_34,0.826
INS,15,F,0.948,INS_F0_34,0.948
INS,20,M,0.826,INS_M0_34,0.826
INS,20,F,0.948,INS_F0_34,0.948
INS,25,M,0.826,INS_M0_34,0.826
INS,25,F,0.948,INS_F0_34,0.948
INS,30,M,0.826,INS_M0_34,0.826
INS,30,F,0.948,INS_F0_34,0.948
INS,35,M,0.719,INS_M35_44,0.719
INS,35,F,0.81,INS_F35_44,0.81
INS,40,M,0.719,INS_M35_44,0.719
INS,40,F,0.81,INS_F35_44,0.81
INS,45,M,0.991,INS_M45_54,0.991
INS,45,F,1.031,INS_F45_54,1.031
INS,50,M,0.991,INS_M45_54,0.991
INS,50,F,1.031,INS_F45_54,1.031
INS,55,M,0.989,INS_M55_59,0.989
INS,55,F,0.949,INS_F55_59,0.949
INS,60,M,0.917,INS_M60_64,0.917
INS,60,F,0.881,INS_F60_64,0.881
INS,65,M,1.275,INS_M65_69,1.275
INS,65,F,1.188,INS_F65_69,1.188
INS,70,M,1.224,INS_M70_74,1.224
INS,70,F,1.119,INS_F70_74,1.119
INS,75,M,1.319,INS_M75_79,1.319
INS,75,F,0.965,INS_F75_79,0.965
INS,80,M,1.238,INS_M80_84,1.238
INS,80,F,0.862,INS_F80_84,0.862
INS,85,M,1.135,INS_M85_89,1.135
INS,85,F,0.75,INS_F85_89,0.75
INS,90,M,0.946,INS_M90_94,0.946
INS,90,F,0.627,INS_F90_94,0.627
INS,95,M,0.825,INS_M95_GT,0.825
INS,95,F,0.481,INS_F95_GT,0.481
INS,95,M,0.825,INS_M95_GT,0.825
INS,95,F,0.481,INS_F95_GT,0.481
