coefficient_key,coefficient_value,coefficient_type,cms_label
CNA_HCC1,0.335,disease,HIV/AIDS
CND_HCC1,0.287,disease,HIV/AIDS
CFA_HCC1,0.595,disease,HIV/AIDS
CFD_HCC1,0.396,disease,HIV/AIDS
CPA_HCC1,0.482,disease,HIV/AIDS
CPD_HCC1,0.200,disease,HIV/AIDS
INS_HCC1,1.722,disease,HIV/AIDS
CNA_HCC2,0.352,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CND_HCC2,0.414,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CFA_HCC2,0.453,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CFD_HCC2,0.530,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CPA_HCC2,0.316,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CPD_HCC2,0.297,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
INS_HCC2,0.324,disease,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
CNA_HCC6,0.424,disease,Opportunistic Infections
CND_HCC6,0.740,disease,Opportunistic Infections
CFA_HCC6,0.572,disease,Opportunistic Infections
CFD_HCC6,0.803,disease,Opportunistic Infections
CPA_HCC6,0.318,disease,Opportunistic Infections
CPD_HCC6,0.658,disease,Opportunistic Infections
INS_HCC6,0.534,disease,Opportunistic Infections
CNA_HCC8,2.659,disease,Metastatic Cancer and Acute Leukemia
CND_HCC8,2.714,disease,Metastatic Cancer and Acute Leukemia
CFA_HCC8,2.566,disease,Metastatic Cancer and Acute Leukemia
CFD_HCC8,2.801,disease,Metastatic Cancer and Acute Leukemia
CPA_HCC8,2.455,disease,Metastatic Cancer and Acute Leukemia
CPD_HCC8,2.659,disease,Metastatic Cancer and Acute Leukemia
INS_HCC8,1.303,disease,Metastatic Cancer and Acute Leukemia
CNA_HCC9,1.024,disease,Lung and Other Severe Cancers
CND_HCC9,0.910,disease,Lung and Other Severe Cancers
CFA_HCC9,1.010,disease,Lung and Other Severe Cancers
CFD_HCC9,1.001,disease,Lung and Other Severe Cancers
CPA_HCC9,1.001,disease,Lung and Other Severe Cancers
CPD_HCC9,0.880,disease,Lung and Other Severe Cancers
INS_HCC9,0.623,disease,Lung and Other Severe Cancers
CNA_HCC10,0.675,disease,Lymphoma and Other Cancers
CND_HCC10,0.663,disease,Lymphoma and Other Cancers
CFA_HCC10,0.717,disease,Lymphoma and Other Cancers
CFD_HCC10,0.756,disease,Lymphoma and Other Cancers
CPA_HCC10,0.648,disease,Lymphoma and Other Cancers
CPD_HCC10,0.667,disease,Lymphoma and Other Cancers
INS_HCC10,0.461,disease,Lymphoma and Other Cancers
CNA_HCC11,0.307,disease,"Colorectal, Bladder, and Other Cancers"
CND_HCC11,0.345,disease,"Colorectal, Bladder, and Other Cancers"
CFA_HCC11,0.317,disease,"Colorectal, Bladder, and Other Cancers"
CFD_HCC11,0.355,disease,"Colorectal, Bladder, and Other Cancers"
CPA_HCC11,0.330,disease,"Colorectal, Bladder, and Other Cancers"
CPD_HCC11,0.351,disease,"Colorectal, Bladder, and Other Cancers"
INS_HCC11,0.294,disease,"Colorectal, Bladder, and Other Cancers"
CNA_HCC12,0.150,disease,"Breast, Prostate, and Other Cancers and Tumors"
CND_HCC12,0.212,disease,"Breast, Prostate, and Other Cancers and Tumors"
CFA_HCC12,0.158,disease,"Breast, Prostate, and Other Cancers and Tumors"
CFD_HCC12,0.212,disease,"Breast, Prostate, and Other Cancers and Tumors"
CPA_HCC12,0.154,disease,"Breast, Prostate, and Other Cancers and Tumors"
CPD_HCC12,0.181,disease,"Breast, Prostate, and Other Cancers and Tumors"
INS_HCC12,0.210,disease,"Breast, Prostate, and Other Cancers and Tumors"
CNA_HCC17,0.302,disease,Diabetes with Acute Complications
CND_HCC17,0.351,disease,Diabetes with Acute Complications
CFA_HCC17,0.340,disease,Diabetes with Acute Complications
CFD_HCC17,0.423,disease,Diabetes with Acute Complications
CPA_HCC17,0.326,disease,Diabetes with Acute Complications
CPD_HCC17,0.373,disease,Diabetes with Acute Complications
INS_HCC17,0.440,disease,Diabetes with Acute Complications
CNA_HCC18,0.302,disease,Diabetes with Chronic Complications
CND_HCC18,0.351,disease,Diabetes with Chronic Complications
CFA_HCC18,0.340,disease,Diabetes with Chronic Complications
CFD_HCC18,0.423,disease,Diabetes with Chronic Complications
CPA_HCC18,0.326,disease,Diabetes with Chronic Complications
CPD_HCC18,0.373,disease,Diabetes with Chronic Complications
INS_HCC18,0.440,disease,Diabetes with Chronic Complications
CNA_HCC19,0.105,disease,Diabetes without Complication
CND_HCC19,0.124,disease,Diabetes without Complication
CFA_HCC19,0.107,disease,Diabetes without Complication
CFD_HCC19,0.145,disease,Diabetes without Complication
CPA_HCC19,0.087,disease,Diabetes without Complication
CPD_HCC19,0.122,disease,Diabetes without Complication
INS_HCC19,0.178,disease,Diabetes without Complication
CNA_HCC21,0.455,disease,Protein-Calorie Malnutrition
CND_HCC21,0.674,disease,Protein-Calorie Malnutrition
CFA_HCC21,0.693,disease,Protein-Calorie Malnutrition
CFD_HCC21,0.723,disease,Protein-Calorie Malnutrition
CPA_HCC21,0.457,disease,Protein-Calorie Malnutrition
CPD_HCC21,0.679,disease,Protein-Calorie Malnutrition
INS_HCC21,0.267,disease,Protein-Calorie Malnutrition
CNA_HCC22,0.250,disease,Morbid Obesity
CND_HCC22,0.183,disease,Morbid Obesity
CFA_HCC22,0.383,disease,Morbid Obesity
CFD_HCC22,0.297,disease,Morbid Obesity
CPA_HCC22,0.233,disease,Morbid Obesity
CPD_HCC22,0.204,disease,Morbid Obesity
INS_HCC22,0.455,disease,Morbid Obesity
CNA_HCC23,0.194,disease,Other Significant Endocrine and Metabolic Disorders
CND_HCC23,0.378,disease,Other Significant Endocrine and Metabolic Disorders
CFA_HCC23,0.211,disease,Other Significant Endocrine and Metabolic Disorders
CFD_HCC23,0.299,disease,Other Significant Endocrine and Metabolic Disorders
CPA_HCC23,0.174,disease,Other Significant Endocrine and Metabolic Disorders
CPD_HCC23,0.319,disease,Other Significant Endocrine and Metabolic Disorders
INS_HCC23,0.379,disease,Other Significant Endocrine and Metabolic Disorders
CNA_HCC27,0.882,disease,End-Stage Liver Disease
CND_HCC27,1.065,disease,End-Stage Liver Disease
CFA_HCC27,1.111,disease,End-Stage Liver Disease
CFD_HCC27,1.101,disease,End-Stage Liver Disease
CPA_HCC27,0.729,disease,End-Stage Liver Disease
CPD_HCC27,0.887,disease,End-Stage Liver Disease
INS_HCC27,0.874,disease,End-Stage Liver Disease
CNA_HCC28,0.363,disease,Cirrhosis of Liver
