coefficient_key,coefficient_value,coefficient_type,cms_label
CND_HCC28,0.334,disease,Cirrhosis of Liver
CFA_HCC28,0.411,disease,Cirrhosis of Liver
CFD_HCC28,0.365,disease,Cirrhosis of Liver
CPA_HCC28,0.403,disease,Cirrhosis of Liver
CPD_HCC28,0.341,disease,Cirrhosis of Liver
INS_HCC28,0.485,disease,Cirrhosis of Liver
CNA_HCC29,0.147,disease,Chronic Hepatitis
CND_HCC29,0.314,disease,Chronic Hepatitis
CFA_HCC29,0.042,disease,Chronic Hepatitis
CFD_HCC29,0.292,disease,Chronic Hepatitis
CPA_HCC29,0.181,disease,Chronic Hepatitis
CPD_HCC29,0.238,disease,Chronic Hepatitis
INS_HCC29,0.485,disease,Chronic Hepatitis
CNA_HCC33,0.219,disease,Intestinal Obstruction/Perforation
CND_HCC33,0.503,disease,Intestinal Obstruction/Perforation
CFA_HCC33,0.258,disease,Intestinal Obstruction/Perforation
CFD_HCC33,0.538,disease,Intestinal Obstruction/Perforation
CPA_HCC33,0.232,disease,Intestinal Obstruction/Perforation
CPD_HCC33,0.552,disease,Intestinal Obstruction/Perforation
INS_HCC33,0.352,disease,Intestinal Obstruction/Perforation
CNA_HCC34,0.287,disease,Chronic Pancreatitis
CND_HCC34,0.580,disease,Chronic Pancreatitis
CFA_HCC34,0.349,disease,Chronic Pancreatitis
CFD_HCC34,0.762,disease,Chronic Pancreatitis
CPA_HCC34,0.371,disease,Chronic Pancreatitis
CPD_HCC34,0.597,disease,Chronic Pancreatitis
INS_HCC34,0.422,disease,Chronic Pancreatitis
CNA_HCC35,0.308,disease,Inflammatory Bowel Disease
CND_HCC35,0.523,disease,Inflammatory Bowel Disease
CFA_HCC35,0.275,disease,Inflammatory Bowel Disease
CFD_HCC35,0.551,disease,Inflammatory Bowel Disease
CPA_HCC35,0.275,disease,Inflammatory Bowel Disease
CPD_HCC35,0.543,disease,Inflammatory Bowel Disease
INS_HCC35,0.355,disease,Inflammatory Bowel Disease
CNA_HCC39,0.401,disease,Bone/Joint/Muscle Infections/Necrosis
CND_HCC39,0.378,disease,Bone/Joint/Muscle Infections/Necrosis
CFA_HCC39,0.558,disease,Bone/Joint/Muscle Infections/Necrosis
CFD_HCC39,0.682,disease,Bone/Joint/Muscle Infections/Necrosis
CPA_HCC39,0.443,disease,Bone/Joint/Muscle Infections/Necrosis
CPD_HCC39,0.435,disease,Bone/Joint/Muscle Infections/Necrosis
INS_HCC39,0.401,disease,Bone/Joint/Muscle Infections/Necrosis
CNA_HCC40,0.421,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CND_HCC40,0.367,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CFA_HCC40,0.371,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CFD_HCC40,0.328,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CPA_HCC40,0.347,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CPD_HCC40,0.264,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
INS_HCC40,0.292,disease,Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
CNA_HCC46,1.372,disease,Severe Hematological Disorders
CND_HCC46,3.566,disease,Severe Hematological Disorders
CFA_HCC46,1.214,disease,Severe Hematological Disorders
CFD_HCC46,4.309,disease,Severe Hematological Disorders
CPA_HCC46,1.234,disease,Severe Hematological Disorders
CPD_HCC46,4.138,disease,Severe Hematological Disorders
INS_HCC46,0.799,disease,Severe Hematological Disorders
CNA_HCC47,0.665,disease,Disorders of Immunity
CND_HCC47,0.860,disease,Disorders of Immunity
CFA_HCC47,0.452,disease,Disorders of Immunity
CFD_HCC47,0.691,disease,Disorders of Immunity
CPA_HCC47,0.674,disease,Disorders of Immunity
CPD_HCC47,0.594,disease,Disorders of Immunity
INS_HCC47,0.576,disease,Disorders of Immunity
CNA_HCC48,0.192,disease,Coagulation Defects and Other Specified Hematological Disorders
CND_HCC48,0.312,disease,Coagulation Defects and Other Specified Hematological Disorders
CFA_HCC48,0.221,disease,Coagulation Defects and Other Specified Hematological Disorders
CFD_HCC48,0.298,disease,Coagulation Defects and Other Specified Hematological Disorders
CPA_HCC48,0.186,disease,Coagulation Defects and Other Specified Hematological Disorders
CPD_HCC48,0.330,disease,Coagulation Defects and Other Specified Hematological Disorders
INS_HCC48,0.190,disease,Coagulation Defects and Other Specified Hematological Disorders
CNA_HCC51,0.346,disease,Dementia With Complications
CND_HCC51,0.224,disease,Dementia With Complications
CFA_HCC51,0.453,disease,Dementia With Complications
CFD_HCC51,0.256,disease,Dementia With Complications
CPA_HCC51,0.420,disease,Dementia With Complications
CPD_HCC51,0.257,disease,Dementia With Complications
INS_HCC51,0.000,disease,Dementia With Complications
CNA_HCC52,0.346,disease,Dementia Without Complication
CND_HCC52,0.224,disease,Dementia Without Complication
CFA_HCC52,0.453,disease,Dementia Without Complication
CFD_HCC52,0.256,disease,Dementia Without Complication
CPA_HCC52,0.420,disease,Dementia Without Complication
CPD_HCC52,0.257,disease,Dementia Without Complication
INS_HCC52,0.000,disease,Dementia Without Complication
CNA_HCC54,0.329,disease,Substance Use with Psychotic Complications
CND_HCC54,0.543,disease,Substance Use with Psychotic Complications
CFA_HCC54,0.538,disease,Substance Use with Psychotic Complications
CFD_HCC54,0.896,disease,Substance Use with Psychotic Complications
CPA_HCC54,0.372,disease,Substance Use with Psychotic Complications
CPD_HCC54,0.679,disease,Substance Use with Psychotic Complications
INS_HCC54,0.178,disease,Substance Use with Psychotic Complications
CNA_HCC55,0.329,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CND_HCC55,0.279,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CFA_HCC55,0.538,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CFD_HCC55,0.356,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CPA_HCC55,0.372,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CPD_HCC55,0.275,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
INS_HCC55,0.178,disease,"Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
CNA_HCC56,0.329,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CND_HCC56,0.247,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CFA_HCC56,0.538,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CFD_HCC56,0.348,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CPA_HCC56,0.372,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CPD_HCC56,0.275,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
INS_HCC56,0.178,disease,"Substance Use Disorder, Mild, Except Alcohol and Cannabis"
CNA_HCC57,0.524,disease,Schizophrenia
CND_HCC57,0.352,disease,Schizophrenia
CFA_HCC57,0.570,disease,Schizophrenia
CFD_HCC57,0.381,disease,Schizophrenia
CPA_HCC57,0.495,disease,Schizophrenia
CPD_HCC57,0.309,disease,Schizophrenia
INS_HCC57,0.187,disease,Schizophrenia
CNA_HCC58,0.393,disease,Reactive and Unspecified Psychosis
CND_HCC58,0.352,disease,Reactive and Unspecified Psychosis
CFA_HCC58,0.570,disease,Reactive and Unspecified Psychosis
CFD_HCC58,0.231,disease,Reactive and Unspecified Psychosis
CPA_HCC58,0.449,disease,Reactive and Unspecified Psychosis
CPD_HCC58,0.239,disease,Reactive and Unspecified Psychosis
INS_HCC58,0.187,disease,Reactive and Unspecified Psychosis
CNA_HCC59,0.309,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CND_HCC59,0.164,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CFA_HCC59,0.299,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CFD_HCC59,0.127,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CPA_HCC59,0.306,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CPD_HCC59,0.109,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
INS_HCC59,0.187,disease,"Major Depressive, Bipolar, and Paranoid Disorders"
CNA_HCC60,0.309,disease,Personality Disorders
CND_HCC60,0.108,disease,Personality Disorders
CFA_HCC60,0.299,disease,Personality Disorders
CFD_HCC60,0.100,disease,Personality Disorders
CPA_HCC60,0.255,disease,Personality Disorders
CPD_HCC60,0.065,disease,Personality Disorders
INS_HCC60,0.000,disease,Personality Disorders
CNA_HCC70,1.242,disease,Quadriplegia
CND_HCC70,1.001,disease,Quadriplegia
CFA_HCC70,1.038,disease,Quadriplegia
CFD_HCC70,1.000,disease,Quadriplegia
CPA_HCC70,1.000,disease,Quadriplegia
CPD_HCC70,1.134,disease,Quadriplegia
INS_HCC70,0.549,disease,Quadriplegia
CNA_HCC71,1.068,disease,Paraplegia
CND_HCC71,0.739,disease,Paraplegia
CFA_HCC71,0.921,disease,Paraplegia
CFD_HCC71,0.957,disease,Paraplegia
CPA_HCC71,1.000,disease,Paraplegia
CPD_HCC71,0.933,disease,Paraplegia
INS_HCC71,0.492,disease,Paraplegia
CNA_HCC72,0.481,disease,Spinal Cord Disorders/Injuries
CND_HCC72,0.369,disease,Spinal Cord Disorders/Injuries
CFA_HCC72,0.532,disease,Spinal Cord Disorders/Injuries
CFD_HCC72,0.377,disease,Spinal Cord Disorders/Injuries
CPA_HCC72,0.512,disease,Spinal Cord Disorders/Injuries
CPD_HCC72,0.336,disease,Spinal Cord Disorders/Injuries
INS_HCC72,0.289,disease,Spinal Cord Disorders/Injuries
CNA_HCC73,0.999,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CND_HCC73,1.132,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CFA_HCC73,1.101,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CFD_HCC73,1.245,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CPA_HCC73,0.687,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CPD_HCC73,0.933,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
INS_HCC73,0.476,disease,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease
CNA_HCC74,0.339,disease,Cerebral Palsy
CND_HCC74,0.098,disease,Cerebral Palsy
CFA_HCC74,0.000,disease,Cerebral Palsy
CFD_HCC74,0.000,disease,Cerebral Palsy
CPA_HCC74,0.114,disease,Cerebral Palsy
CPD_HCC74,0.000,disease,Cerebral Palsy
INS_HCC74,0.000,disease,Cerebral Palsy
CNA_HCC75,0.472,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CND_HCC75,0.481,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CFA_HCC75,0.407,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CFD_HCC75,0.404,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CPA_HCC75,0.287,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CPD_HCC75,0.314,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
INS_HCC75,0.332,disease,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
CNA_HCC76,0.518,disease,Muscular Dystrophy
CND_HCC76,0.621,disease,Muscular Dystrophy
CFA_HCC76,0.413,disease,Muscular Dystrophy
CFD_HCC76,0.597,disease,Muscular Dystrophy
CPA_HCC76,0.000,disease,Muscular Dystrophy
CPD_HCC76,0.286,disease,Muscular Dystrophy
INS_HCC76,0.356,disease,Muscular Dystrophy
CNA_HCC77,0.423,disease,Multiple Sclerosis
CND_HCC77,0.566,disease,Multiple Sclerosis
CFA_HCC77,0.742,disease,Multiple Sclerosis
CFD_HCC77,0.789,disease,Multiple Sclerosis
CPA_HCC77,0.276,disease,Multiple Sclerosis
CPD_HCC77,0.460,disease,Multiple Sclerosis
INS_HCC77,0.000,disease,Multiple Sclerosis
CNA_HCC78,0.606,disease,Parkinson's and Huntington's Diseases
CND_HCC78,0.501,disease,Parkinson's and Huntington's Diseases
CFA_HCC78,0.601,disease,Parkinson's and Huntington's Diseases
CFD_HCC78,0.443,disease,Parkinson's and Huntington's Diseases
CPA_HCC78,0.536,disease,Parkinson's and Huntington's Diseases
CPD_HCC78,0.430,disease,Parkinson's and Huntington's Diseases
INS_HCC78,0.159,disease,Parkinson's and Huntington's Diseases
CNA_HCC79,0.220,disease,Seizure Disorders and Convulsions
CND_HCC79,0.196,disease,Seizure Disorders and Convulsions
CFA_HCC79,0.237,disease,Seizure Disorders and Convulsions
CFD_HCC79,0.139,disease,Seizure Disorders and Convulsions
CPA_HCC79,0.257,disease,Seizure Disorders and Convulsions
CPD_HCC79,0.169,disease,Seizure Disorders and Convulsions
INS_HCC79,0.065,disease,Seizure Disorders and Convulsions
CNA_HCC80,0.486,disease,"Coma, Brain Compression/Anoxic Damage"
CND_HCC80,0.274,disease,"Coma, Brain Compression/Anoxic Damage"
CFA_HCC80,0.511,disease,"Coma, Brain Compression/Anoxic Damage"
CFD_HCC80,0.105,disease,"Coma, Brain Compression/Anoxic Damage"
CPA_HCC80,0.729,disease,"Coma, Brain Compression/Anoxic Damage"
CPD_HCC80,0.134,disease,"Coma, Brain Compression/Anoxic Damage"
INS_HCC80,0.000,disease,"Coma, Brain Compression/Anoxic Damage"
CNA_HCC82,1.000,disease,Respirator Dependence/Tracheostomy Status
CND_HCC82,0.781,disease,Respirator Dependence/Tracheostomy Status
CFA_HCC82,2.183,disease,Respirator Dependence/Tracheostomy Status
CFD_HCC82,1.465,disease,Respirator Dependence/Tracheostomy Status
CPA_HCC82,0.836,disease,Respirator Dependence/Tracheostomy Status
CPD_HCC82,0.769,disease,Respirator Dependence/Tracheostomy Status
INS_HCC82,1.622,disease,Respirator Dependence/Tracheostomy Status
CNA_HCC83,0.354,disease,Respiratory Arrest
CND_HCC83,0.400,disease,Respiratory Arrest
CFA_HCC83,0.902,disease,Respiratory Arrest
CFD_HCC83,0.531,disease,Respiratory Arrest
CPA_HCC83,0.361,disease,Respiratory Arrest
CPD_HCC83,0.769,disease,Respiratory Arrest
INS_HCC83,0.511,disease,Respiratory Arrest
CNA_HCC84,0.282,disease,Cardio-Respiratory Failure and Shock
CND_HCC84,0.385,disease,Cardio-Respiratory Failure and Shock
CFA_HCC84,0.492,disease,Cardio-Respiratory Failure and Shock
CFD_HCC84,0.531,disease,Cardio-Respiratory Failure and Shock
CPA_HCC84,0.361,disease,Cardio-Respiratory Failure and Shock
CPD_HCC84,0.343,disease,Cardio-Respiratory Failure and Shock
INS_HCC84,0.313,disease,Cardio-Respiratory Failure and Shock
CNA_HCC85,0.331,disease,Congestive Heart Failure
CND_HCC85,0.447,disease,Congestive Heart Failure
CFA_HCC85,0.371,disease,Congestive Heart Failure
CFD_HCC85,0.486,disease,Congestive Heart Failure
CPA_HCC85,0.336,disease,Congestive Heart Failure
CPD_HCC85,0.422,disease,Congestive Heart Failure
INS_HCC85,0.203,disease,Congestive Heart Failure
CNA_HCC86,0.195,disease,Acute Myocardial Infarction
CND_HCC86,0.264,disease,Acute Myocardial Infarction
CFA_HCC86,0.377,disease,Acute Myocardial Infarction
CFD_HCC86,0.425,disease,Acute Myocardial Infarction
CPA_HCC86,0.293,disease,Acute Myocardial Infarction
CPD_HCC86,0.379,disease,Acute Myocardial Infarction
INS_HCC86,0.366,disease,Acute Myocardial Infarction
CNA_HCC87,0.195,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CND_HCC87,0.264,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CFA_HCC87,0.302,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CFD_HCC87,0.425,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CPA_HCC87,0.276,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CPD_HCC87,0.379,disease,Unstable Angina and Other Acute Ischemic Heart Disease
INS_HCC87,0.366,disease,Unstable Angina and Other Acute Ischemic Heart Disease
CNA_HCC88,0.135,disease,Angina Pectoris
CND_HCC88,0.111,disease,Angina Pectoris
CFA_HCC88,0.034,disease,Angina Pectoris
CFD_HCC88,0.152,disease,Angina Pectoris
CPA_HCC88,0.149,disease,Angina Pectoris
CPD_HCC88,0.149,disease,Angina Pectoris
INS_HCC88,0.366,disease,Angina Pectoris
CNA_HCC96,0.268,disease,Specified Heart Arrhythmias
CND_HCC96,0.262,disease,Specified Heart Arrhythmias
CFA_HCC96,0.384,disease,Specified Heart Arrhythmias
CFD_HCC96,0.308,disease,Specified Heart Arrhythmias
CPA_HCC96,0.264,disease,Specified Heart Arrhythmias
CPD_HCC96,0.281,disease,Specified Heart Arrhythmias
INS_HCC96,0.252,disease,Specified Heart Arrhythmias
CNA_HCC99,0.230,disease,Intracranial Hemorrhage
CND_HCC99,0.170,disease,Intracranial Hemorrhage
CFA_HCC99,0.380,disease,Intracranial Hemorrhage
CFD_HCC99,0.486,disease,Intracranial Hemorrhage
CPA_HCC99,0.230,disease,Intracranial Hemorrhage
CPD_HCC99,0.163,disease,Intracranial Hemorrhage
INS_HCC99,0.111,disease,Intracranial Hemorrhage
CNA_HCC100,0.230,disease,Ischemic or Unspecified Stroke
CND_HCC100,0.146,disease,Ischemic or Unspecified Stroke
CFA_HCC100,0.380,disease,Ischemic or Unspecified Stroke
CFD_HCC100,0.324,disease,Ischemic or Unspecified Stroke
CPA_HCC100,0.230,disease,Ischemic or Unspecified Stroke
CPD_HCC100,0.163,disease,Ischemic or Unspecified Stroke
INS_HCC100,0.111,disease,Ischemic or Unspecified Stroke
CNA_HCC103,0.437,disease,Hemiplegia/Hemiparesis
CND_HCC103,0.281,disease,Hemiplegia/Hemiparesis
CFA_HCC103,0.487,disease,Hemiplegia/Hemiparesis
CFD_HCC103,0.296,disease,Hemiplegia/Hemiparesis
CPA_HCC103,0.438,disease,Hemiplegia/Hemiparesis
CPD_HCC103,0.310,disease,Hemiplegia/Hemiparesis
INS_HCC103,0.000,disease,Hemiplegia/Hemiparesis
CNA_HCC104,0.331,disease,"Monoplegia, Other Paralytic Syndromes"
CND_HCC104,0.270,disease,"Monoplegia, Other Paralytic Syndromes"
CFA_HCC104,0.345,disease,"Monoplegia, Other Paralytic Syndromes"
CFD_HCC104,0.258,disease,"Monoplegia, Other Paralytic Syndromes"
CPA_HCC104,0.300,disease,"Monoplegia, Other Paralytic Syndromes"
CPD_HCC104,0.164,disease,"Monoplegia, Other Paralytic Syndromes"
INS_HCC104,0.000,disease,"Monoplegia, Other Paralytic Syndromes"
CNA_HCC106,1.488,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CND_HCC106,1.521,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CFA_HCC106,1.724,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CFD_HCC106,1.748,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CPA_HCC106,1.504,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CPD_HCC106,1.525,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
INS_HCC106,0.867,disease,Atherosclerosis of the Extremities with Ulceration or Gangrene
CNA_HCC107,0.383,disease,Vascular Disease with Complications
CND_HCC107,0.464,disease,Vascular Disease with Complications
CFA_HCC107,0.565,disease,Vascular Disease with Complications
CFD_HCC107,0.653,disease,Vascular Disease with Complications
CPA_HCC107,0.463,disease,Vascular Disease with Complications
CPD_HCC107,0.450,disease,Vascular Disease with Complications
INS_HCC107,0.299,disease,Vascular Disease with Complications
CNA_HCC108,0.288,disease,Vascular Disease
CND_HCC108,0.301,disease,Vascular Disease
CFA_HCC108,0.294,disease,Vascular Disease
CFD_HCC108,0.267,disease,Vascular Disease
CPA_HCC108,0.297,disease,Vascular Disease
CPD_HCC108,0.314,disease,Vascular Disease
INS_HCC108,0.093,disease,Vascular Disease
CNA_HCC110,0.510,disease,Cystic Fibrosis
CND_HCC110,2.676,disease,Cystic Fibrosis
CFA_HCC110,0.509,disease,Cystic Fibrosis
CFD_HCC110,3.516,disease,Cystic Fibrosis
CPA_HCC110,0.392,disease,Cystic Fibrosis
CPD_HCC110,3.051,disease,Cystic Fibrosis
INS_HCC110,0.593,disease,Cystic Fibrosis
CNA_HCC111,0.335,disease,Chronic Obstructive Pulmonary Disease
CND_HCC111,0.246,disease,Chronic Obstructive Pulmonary Disease
CFA_HCC111,0.430,disease,Chronic Obstructive Pulmonary Disease
CFD_HCC111,0.331,disease,Chronic Obstructive Pulmonary Disease
CPA_HCC111,0.358,disease,Chronic Obstructive Pulmonary Disease
CPD_HCC111,0.267,disease,Chronic Obstructive Pulmonary Disease
