coefficient_key,coefficient_value,coefficient_type,segment,cms_label
FGI_GE65_DUR10PL_FBD,1.279,demographic,FGI,Aged/with duration since transplant of 10 months or more/Full Benefit Dual
LTI_LT65,2.146,demographic,LTI,Institutional Status/NonAged
LTI_GE65,0.955,demographic,LTI,Institutional Status/Aged
FGI_PBD_LT65_flag,0.141,demographic,FGI,Partial Benefit Dual/NonAged
FGI_PBD_GE65_flag,0.162,demographic,FGI,Partial Benefit Dual/Aged
GNE_ND_PBD_NORIGDIS_G_NEF0_34,0.705,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 0-34
GNE_ND_PBD_NORIGDIS_G_NEF35_44,0.942,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 35-44
GNE_ND_PBD_NORIGDIS_G_NEF45_54,1.145,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 45-54
GNE_ND_PBD_NORIGDIS_G_NEF55_59,1.142,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 55-59
GNE_ND_PBD_NORIGDIS_G_NEF60_64,1.202,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 60-64
GNE_ND_PBD_NORIGDIS_G_NEF65,0.527,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 65
GNE_ND_PBD_NORIGDIS_G_NEF66,0.527,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 66
GNE_ND_PBD_NORIGDIS_G_NEF67,0.553,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 67
GNE_ND_PBD_NORIGDIS_G_NEF68,0.579,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 68
GNE_ND_PBD_NORIGDIS_G_NEF69,0.619,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 69
GNE_ND_PBD_NORIGDIS_G_NEF70_74,0.688,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 70-74
GNE_ND_PBD_NORIGDIS_G_NEF75_79,0.893,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 75-79
GNE_ND_PBD_NORIGDIS_G_NEF80_84,0.980,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 80-84
GNE_ND_PBD_NORIGDIS_G_NEF85_89,1.275,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 85-89
GNE_ND_PBD_NORIGDIS_G_NEF90_94,1.275,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 90-94
GNE_ND_PBD_NORIGDIS_G_NEF95_GT,1.275,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Female 95+
GNE_ND_PBD_NORIGDIS_G_NEM0_34,0.405,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 0-34
GNE_ND_PBD_NORIGDIS_G_NEM35_44,0.663,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 35-44
GNE_ND_PBD_NORIGDIS_G_NEM45_54,0.898,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 45-54
GNE_ND_PBD_NORIGDIS_G_NEM55_59,0.976,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 55-59
GNE_ND_PBD_NORIGDIS_G_NEM60_64,1.048,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 60-64
GNE_ND_PBD_NORIGDIS_G_NEM65,0.562,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 65
GNE_ND_PBD_NORIGDIS_G_NEM66,0.570,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 66
GNE_ND_PBD_NORIGDIS_G_NEM67,0.612,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 67
GNE_ND_PBD_NORIGDIS_G_NEM68,0.672,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 68
GNE_ND_PBD_NORIGDIS_G_NEM69,0.678,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 69
GNE_ND_PBD_NORIGDIS_G_NEM70_74,0.801,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 70-74
GNE_ND_PBD_NORIGDIS_G_NEM75_79,1.040,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 75-79
GNE_ND_PBD_NORIGDIS_G_NEM80_84,1.234,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 80-84
GNE_ND_PBD_NORIGDIS_G_NEM85_89,1.502,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 85-89
GNE_ND_PBD_NORIGDIS_G_NEM90_94,1.502,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 90-94
GNE_ND_PBD_NORIGDIS_G_NEM95_GT,1.502,interaction,GNE,NonDual or Partial Benefit Dual -- Not Originally Disabled Male 95+
GNE_FBD_NORIGDIS_G_NEF0_34,1.016,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 0-34
GNE_FBD_NORIGDIS_G_NEF35_44,1.291,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 35-44
GNE_FBD_NORIGDIS_G_NEF45_54,1.403,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 45-54
GNE_FBD_NORIGDIS_G_NEF55_59,1.278,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 55-59
GNE_FBD_NORIGDIS_G_NEF60_64,1.384,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 60-64
GNE_FBD_NORIGDIS_G_NEF65,0.978,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 65
GNE_FBD_NORIGDIS_G_NEF66,0.982,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 66
GNE_FBD_NORIGDIS_G_NEF67,0.996,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 67
GNE_FBD_NORIGDIS_G_NEF68,0.996,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 68
GNE_FBD_NORIGDIS_G_NEF69,0.996,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 69
GNE_FBD_NORIGDIS_G_NEF70_74,1.034,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 70-74
GNE_FBD_NORIGDIS_G_NEF75_79,1.119,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 75-79
GNE_FBD_NORIGDIS_G_NEF80_84,1.331,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 80-84
GNE_FBD_NORIGDIS_G_NEF85_89,1.549,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 85-89
GNE_FBD_NORIGDIS_G_NEF90_94,1.697,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 90-94
GNE_FBD_NORIGDIS_G_NEF95_GT,1.697,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Female 95+
GNE_FBD_NORIGDIS_G_NEM0_34,0.732,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 0-34
GNE_FBD_NORIGDIS_G_NEM35_44,1.253,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 35-44
GNE_FBD_NORIGDIS_G_NEM45_54,1.407,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 45-54
GNE_FBD_NORIGDIS_G_NEM55_59,1.464,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 55-59
GNE_FBD_NORIGDIS_G_NEM60_64,1.529,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 60-64
GNE_FBD_NORIGDIS_G_NEM65,1.171,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 65
GNE_FBD_NORIGDIS_G_NEM66,1.223,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 66
GNE_FBD_NORIGDIS_G_NEM67,1.308,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 67
GNE_FBD_NORIGDIS_G_NEM68,1.355,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 68
GNE_FBD_NORIGDIS_G_NEM69,1.443,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 69
GNE_FBD_NORIGDIS_G_NEM70_74,1.443,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 70-74
GNE_FBD_NORIGDIS_G_NEM75_79,1.443,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 75-79
GNE_FBD_NORIGDIS_G_NEM80_84,1.489,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 80-84
GNE_FBD_NORIGDIS_G_NEM85_89,1.667,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 85-89
GNE_FBD_NORIGDIS_G_NEM90_94,1.964,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 90-94
GNE_FBD_NORIGDIS_G_NEM95_GT,1.964,interaction,GNE,Full Benefit Dual -- Not Originally Disabled Male 95+
GNE_ND_PBD_ORIGDIS_G_NEF65,1.202,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 65
GNE_ND_PBD_ORIGDIS_G_NEF66,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 66
GNE_ND_PBD_ORIGDIS_G_NEF67,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 67
GNE_ND_PBD_ORIGDIS_G_NEF68,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 68
GNE_ND_PBD_ORIGDIS_G_NEF69,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 69
GNE_ND_PBD_ORIGDIS_G_NEF70_74,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 70-74
GNE_ND_PBD_ORIGDIS_G_NEF75_79,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 75-79
GNE_ND_PBD_ORIGDIS_G_NEF80_84,1.265,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 80-84
GNE_ND_PBD_ORIGDIS_G_NEF85_89,1.275,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 85-89
GNE_ND_PBD_ORIGDIS_G_NEF90_94,1.275,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 90-94
GNE_ND_PBD_ORIGDIS_G_NEF95_GT,1.275,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Female 95+
GNE_ND_PBD_ORIGDIS_G_NEM65,1.048,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 65
GNE_ND_PBD_ORIGDIS_G_NEM66,1.145,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 66
GNE_ND_PBD_ORIGDIS_G_NEM67,1.145,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 67
GNE_ND_PBD_ORIGDIS_G_NEM68,1.145,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 68
GNE_ND_PBD_ORIGDIS_G_NEM69,1.286,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 69
GNE_ND_PBD_ORIGDIS_G_NEM70_74,1.286,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 70-74
GNE_ND_PBD_ORIGDIS_G_NEM75_79,1.286,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 75-79
GNE_ND_PBD_ORIGDIS_G_NEM80_84,1.286,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 80-84
GNE_ND_PBD_ORIGDIS_G_NEM85_89,1.502,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 85-89
GNE_ND_PBD_ORIGDIS_G_NEM90_94,1.502,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 90-94
GNE_ND_PBD_ORIGDIS_G_NEM95_GT,1.502,interaction,GNE,NonDual or Partial Benefit Dual and Originally Disabled Male 95+
GNE_FBD_ORIGDIS_G_NEF65,1.585,interaction,GNE,Full Benefit Dual and Originally Disabled Female 65
GNE_FBD_ORIGDIS_G_NEF66,1.585,interaction,GNE,Full Benefit Dual and Originally Disabled Female 66
GNE_FBD_ORIGDIS_G_NEF67,1.585,interaction,GNE,Full Benefit Dual and Originally Disabled Female 67
GNE_FBD_ORIGDIS_G_NEF68,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 68
GNE_FBD_ORIGDIS_G_NEF69,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 69
GNE_FBD_ORIGDIS_G_NEF70_74,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 70-74
GNE_FBD_ORIGDIS_G_NEF75_79,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 75-79
GNE_FBD_ORIGDIS_G_NEF80_84,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 80-84
GNE_FBD_ORIGDIS_G_NEF85_89,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 85-89
GNE_FBD_ORIGDIS_G_NEF90_94,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 90-94
GNE_FBD_ORIGDIS_G_NEF95_GT,2.004,interaction,GNE,Full Benefit Dual and Originally Disabled Female 95+
GNE_FBD_ORIGDIS_G_NEM65,1.711,interaction,GNE,Full Benefit Dual and Originally Disabled Male 65
GNE_FBD_ORIGDIS_G_NEM66,1.942,interaction,GNE,Full Benefit Dual and Originally Disabled Male 66
GNE_FBD_ORIGDIS_G_NEM67,1.942,interaction,GNE,Full Benefit Dual and Originally Disabled Male 67
GNE_FBD_ORIGDIS_G_NEM68,1.942,interaction,GNE,Full Benefit Dual and Originally Disabled Male 68
GNE_FBD_ORIGDIS_G_NEM69,1.942,interaction,GNE,Full Benefit Dual and Originally Disabled Male 69
GNE_FBD_ORIGDIS_G_NEM70_74,1.942,interaction,GNE,Full Benefit Dual and Originally Disabled Male 70-74
GNE_FBD_ORIGDIS_G_NEM75_79,2.788,interaction,GNE,Full Benefit Dual and Originally Disabled Male 75-79
GNE_FBD_ORIGDIS_G_NEM80_84,2.788,interaction,GNE,Full Benefit Dual and Originally Disabled Male 80-84
GNE_FBD_ORIGDIS_G_NEM85_89,2.788,interaction,GNE,Full Benefit Dual and Originally Disabled Male 85-89
GNE_FBD_ORIGDIS_G_NEM90_94,2.788,interaction,GNE,Full Benefit Dual and Originally Disabled Male 90-94
GNE_FBD_ORIGDIS_G_NEM95_GT,2.788,interaction,GNE,Full Benefit Dual and Originally Disabled Male 95+
TRANSPLANT_KIDNEY_ONLY_1M,5.985,demographic,TRANSPLANT,Kidney Transplant/Month 1
TRANSPLANT_KIDNEY_ONLY_2M,0.941,demographic,TRANSPLANT,Kidney Transplant/Month 2
TRANSPLANT_KIDNEY_ONLY_3M,0.941,demographic,TRANSPLANT,Kidney Transplant/Month 3
