metric_name,dimension,label
analytics_awv_gap,is_analytics_awv_eligible,AWV Eligible?
analytics_awv_gap,medicare_category,Medicare Category
analytics_awv_gap,primary_payor,Primary Payor
analytics_awv_gap,primary_product_type,Primary Product Type
analytics_awv_gap,provider_id,Primary Provider ID
analytics_awv_gap,provider_name,Primary Provider
analytics_awv_gap,sf_mddo_status,SF MDDO Status
analytics_awv_scheduled,analytics_awv_ytd_status,AWV YTD Status
analytics_awv_scheduled,attributed_payor,Attributed Payor
analytics_awv_scheduled,attribution_status,Attribution Status
analytics_awv_scheduled,awv_eligibility_source,AWV Eligibility Source
analytics_awv_scheduled,clinic,Clinic
analytics_awv_scheduled,is_active_patient,Active Patient?
analytics_awv_scheduled,is_analytics_awv_eligible,AWV Eligible?
analytics_awv_scheduled,medicare_category,Medicare Category
analytics_awv_scheduled,primary_payor,Primary Payor
analytics_awv_scheduled,primary_product_type,Primary Product Type
analytics_awv_scheduled,provider_id,Primary Provider ID
analytics_awv_scheduled,provider_name,Primary Provider
analytics_awv_scheduled,sf_mddo_status,SF MDDO Status
assessed_count,department,Department
assessed_count,documentation_strength,Documentation Strength
assessed_count,hcc_code,HCC Code
assessed_count,insurance_group,Insurance Group
assessed_count,market,Market
assessed_count,provider_name,Provider
assessed_count,suggestion_status,Status
assessment_rate,department,Department
assessment_rate,documentation_strength,Documentation Strength
assessment_rate,hcc_code,HCC Code
assessment_rate,insurance_group,Insurance Group
assessment_rate,market,Market
assessment_rate,provider_name,Provider
assessment_rate,suggestion_status,Status
attributed_at_risk,is_currently_on_roster,On Roster?
attributed_at_risk,is_truly_lost,Truly Lost?
attributed_at_risk,is_voluntary,Voluntary Attributed?
attributed_at_risk,mdm_payor_brand,MDM Payor Brand
attributed_at_risk,mdm_payor_category,MDM Payor Category
attributed_at_risk,off_cadence_active,Off Cadence?
attributed_at_risk,operational_segment,Operational Segment
attributed_at_risk,population_segment,Population Segment
attributed_at_risk,preferred_clinic,Clinic
attributed_at_risk,primary_attributed_payor,Primary Attributed Payor
attributed_engaged,is_currently_on_roster,On Roster?
attributed_engaged,is_truly_lost,Truly Lost?
attributed_engaged,is_voluntary,Voluntary Attributed?
attributed_engaged,mdm_payor_brand,MDM Payor Brand
attributed_engaged,mdm_payor_category,MDM Payor Category
attributed_engaged,off_cadence_active,Off Cadence?
attributed_engaged,operational_segment,Operational Segment
attributed_engaged,population_segment,Population Segment
attributed_engaged,preferred_clinic,Clinic
attributed_engaged,primary_attributed_payor,Primary Attributed Payor
attributed_needs_work,is_currently_on_roster,On Roster?
attributed_needs_work,is_truly_lost,Truly Lost?
attributed_needs_work,is_voluntary,Voluntary Attributed?
attributed_needs_work,mdm_payor_brand,MDM Payor Brand
attributed_needs_work,mdm_payor_category,MDM Payor Category
attributed_needs_work,off_cadence_active,Off Cadence?
attributed_needs_work,operational_segment,Operational Segment
attributed_needs_work,population_segment,Population Segment
attributed_needs_work,preferred_clinic,Clinic
attributed_needs_work,primary_attributed_payor,Primary Attributed Payor
attributed_patient_count,clinic,Clinic
attributed_patient_count,is_active_member,Is Active Member
attributed_patient_count,is_attributed,Attributed?
attributed_patient_count,is_grandmothered_member,Is Grandmothered Member
attributed_patient_count,is_membership_patient,Membership Patient
attributed_patient_count,is_paying_member,Is Paying Member
attributed_patient_count,member_category,Member Category
attributed_patient_count,membership_enrollment,Membership Enrollment
attributed_patient_count,membership_plan_type,Plan Type
attributed_patient_count,patient_status,Patient Status
attributed_patient_count,payment_status,Payment Status
attributed_patient_count,primary_insurance,Primary Insurance
attributed_patient_count,primary_payor,Primary Payor
attributed_patient_count,risk_tier,Risk Tier
attributed_patients,attribution_status,Attribution Status
attributed_patients,clinic,Clinic
attributed_patients,is_active_patient,Active Patient?
attributed_patients,membership_enrollment,Membership Enrollment
attributed_patients,patient_status,Patient Status
attributed_patients,payor_category,Payor Category
attributed_patients,primary_payor,Primary Payor
attributed_patients,risk_tier,Risk Tier
attribution_unique_patients,attributed_payor,Attributed Payor
attribution_unique_patients,insurance_change_reason,Insurance Change Reason
attribution_unique_patients,is_current_attribution,Current?
attribution_unique_patients,movement_event,Movement Event
attribution_unique_patients,preferred_clinic,Clinic
attribution_unique_patients,year_month,Year-Month
attribution_active_patients,attributed_payor,Attributed Payor
attribution_active_patients,insurance_change_reason,Insurance Change Reason
attribution_active_patients,is_current_attribution,Current?
attribution_active_patients,movement_event,Movement Event
attribution_active_patients,preferred_clinic,Clinic
attribution_active_patients,year_month,Year-Month
attribution_rate,attributed_payor,Attributed Payor
attribution_rate,clinic_name,Clinic
attribution_rate,clinic_type,Clinic Type
attribution_rate,is_bh_no_next,Is BH No-Next
attribution_rate,is_no_next,Is No-Next
attribution_rate,is_pending_awv,Is Pending AWV
attribution_rate,is_pending_mddo,Is Pending MDDO
attribution_rate,patient_status,Patient Status
attribution_rate,payor_category,Payor Category
attribution_rate,primary_insurance,Primary Insurance
attribution_rate,scheduling_status,Scheduling Status
attribution_rate,tier,Tier
attrition_count,account_status,Account Status
attrition_count,clinic,Clinic
attrition_count,enrollment_status,Enrollment Status
attrition_count,membership_membership_status,Membership Status
attrition_count,lead_source,Lead Source
attrition_count,member_category,Member Category
attrition_count,member_journey_stage,Member Journey Stage
attrition_count,member_type,Member Type
attrition_count,membership_attribution,Membership Attribution
attrition_count,patient_status,Patient Status
attrition_count,payment_status,Payment Status
attrition_count,primary_payor,Primary Payor
attrition_count,risk_tier,Risk Tier
attrition_count,utm_campaign,UTM Campaign
attrition_count,utm_medium,UTM Medium
attrition_count,utm_source,UTM Source
attrition_rate,account_status,Account Status
attrition_rate,clinic,Clinic
attrition_rate,enrollment_status,Enrollment Status
attrition_rate,membership_membership_status,Membership Status
attrition_rate,lead_source,Lead Source
attrition_rate,member_category,Member Category
attrition_rate,member_journey_stage,Member Journey Stage
attrition_rate,member_type,Member Type
attrition_rate,membership_attribution,Membership Attribution
attrition_rate,patient_status,Patient Status
attrition_rate,payment_status,Payment Status
attrition_rate,primary_payor,Primary Payor
attrition_rate,risk_tier,Risk Tier
attrition_rate,utm_campaign,UTM Campaign
attrition_rate,utm_medium,UTM Medium
attrition_rate,utm_source,UTM Source
